epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.892,3.31769,7.61176,2.57558,0.00022,0.1125,0.00017,5e-05,3.32091,6.41994,2.72028,0.000543038,0.000543038,0.000543038
2,580.205,3.07135,4.93548,2.25483,4e-05,0.00962,3e-05,1e-05,3.67466,5248.45,18.8381,0.00107453,0.00107453,0.00107453
3,928.172,3.16732,5.23577,2.28102,0.50007,0.01923,2e-05,0,4.33238,9920.08,11.018,0.00158158,0.00158158,0.00158158
4,1255.08,3.05009,4.65937,2.20931,0.00021,0.1375,0.00014,3e-05,4.19724,6808.23,25.265,0.00155698,0.00155698,0.00155698
5,1534.98,3.02063,4.6371,2.24374,8e-05,0.05,4e-05,2e-05,3.78536,162.992,12.4947,0.0015203,0.0015203,0.0015203
6,1824.02,3.01125,4.59277,2.2929,0.0002,0.1375,0.00013,6e-05,3.51908,77.5562,22.2975,0.00148363,0.00148363,0.00148363
7,2099.49,2.99903,4.60905,2.23407,0.00094,0.15,0.00094,0.00027,3.2578,4.9137,2.58608,0.00144696,0.00144696,0.00144696
8,2374,2.91385,4.5852,2.20022,0.00121,0.31442,0.00151,0.00039,3.05278,4.90707,2.50304,0.00141028,0.00141028,0.00141028
9,2672.88,2.86985,4.58885,2.21912,0.00092,0.27115,0.00094,0.00026,2.92733,4.8561,2.3652,0.00137361,0.00137361,0.00137361
10,2966.31,2.97593,4.55584,2.22426,0.00051,0.2625,0.00055,0.00018,3.0842,5.06869,2.38813,0.00133693,0.00133693,0.00133693
11,3272.32,2.9622,4.61445,2.22767,0.0006,0.2,0.00058,0.00019,2.89982,4.78619,2.34492,0.00130026,0.00130026,0.00130026
12,3554.68,2.93033,4.61935,2.27821,0.0004,0.25,0.00061,0.00013,2.9619,4.74744,2.35723,0.00126359,0.00126359,0.00126359
13,3825.73,2.92534,4.55518,2.19746,0.00044,0.0625,0.00029,0.00013,3.01767,4.67711,2.33608,0.00122691,0.00122691,0.00122691
14,4107.8,2.8454,4.55644,2.14863,0.00168,0.37115,0.00145,0.00044,2.95729,4.81692,2.29637,0.00119024,0.00119024,0.00119024
15,4398.06,2.85202,4.57488,2.14699,0.00451,0.04712,0.0025,0.0013,2.85153,4.84592,2.26429,0.00115356,0.00115356,0.00115356
16,4669.92,2.77241,4.51691,2.1296,0.00258,0.31346,0.00166,0.0003,2.96959,4.73216,2.36061,0.00111689,0.00111689,0.00111689
17,4940.46,2.80937,4.50604,2.17971,0.00068,0.05,0.00049,0.00023,2.75618,4.81499,2.31457,0.00108022,0.00108022,0.00108022
18,5206.55,2.81966,4.54431,2.20877,0.00033,0.01923,0.00018,8e-05,2.79916,4.6988,2.34913,0.00104354,0.00104354,0.00104354
19,5472.7,2.8087,4.50543,2.18726,0.00132,0.1125,0.00089,0.00028,2.76802,4.60187,2.31711,0.00100687,0.00100687,0.00100687
20,5739.81,2.79276,4.46078,2.20269,0,0,0,0,2.78428,4.83352,2.34552,0.000970194,0.000970194,0.000970194
21,6005.82,2.80698,4.49097,2.16722,0.00075,0.21635,0.00052,0.00015,2.76514,4.81408,2.34699,0.00093352,0.00093352,0.00093352
22,6272.12,2.70271,4.41508,2.14105,0.00097,0.28077,0.00077,0.0002,2.75647,4.7656,2.35129,0.000896846,0.000896846,0.000896846
23,6537.97,2.78206,4.39187,2.15857,0.00164,0.24615,0.0012,0.00037,2.88032,4.74308,2.36796,0.000860172,0.000860172,0.000860172
24,6802.74,2.80037,4.44524,2.15736,0.00139,0.09808,0.00091,0.00018,2.94601,4.83027,2.36329,0.000823498,0.000823498,0.000823498
25,7067.94,2.73929,4.35983,2.14119,0.00088,0.13558,0.00073,0.00022,2.96499,4.6437,2.4469,0.000786824,0.000786824,0.000786824
26,7333.05,2.70382,4.48396,2.13347,0.00074,0.125,0.00071,0.00019,2.6674,4.81681,2.26322,0.00075015,0.00075015,0.00075015
27,7598.01,2.75353,4.35316,2.16205,0.00229,0.26923,0.00208,0.00057,2.78272,4.492,2.26298,0.000713476,0.000713476,0.000713476
28,7863.06,2.65285,4.33851,2.06992,0.00174,0.28942,0.00202,0.0006,2.81208,4.55995,2.29144,0.000676802,0.000676802,0.000676802
29,8127.52,2.68173,4.4066,2.08987,0.00252,0.35288,0.00341,0.00081,2.73529,4.60513,2.29898,0.000640128,0.000640128,0.000640128
30,8392.97,2.62971,4.28588,2.05909,0.00131,0.37115,0.00141,0.00052,2.64694,4.89817,2.3055,0.000603454,0.000603454,0.000603454
31,8658.86,2.63638,4.29612,2.04999,0.00169,0.30481,0.0018,0.00045,2.95432,4.59676,2.31674,0.00056678,0.00056678,0.00056678
32,8923.41,2.66329,4.32838,2.07883,0.00209,0.15673,0.00458,0.00082,2.77851,4.63977,2.34045,0.000530106,0.000530106,0.000530106
33,9188.36,2.58988,4.2619,2.02639,0.00185,0.19231,0.00148,0.00034,2.76092,4.69141,2.31142,0.000493432,0.000493432,0.000493432
34,9453.59,2.629,4.30895,2.04077,0.00117,0.25577,0.00221,0.00055,2.76134,4.67848,2.27821,0.000456758,0.000456758,0.000456758
35,9718.66,2.54254,4.1869,2.01944,0.00086,0.20769,0.00109,0.00029,2.81563,4.79353,2.31675,0.000420084,0.000420084,0.000420084
36,9982.42,2.62365,4.3489,2.10726,0.00127,0.23942,0.00107,0.00036,2.83035,4.92195,2.33475,0.00038341,0.00038341,0.00038341
37,10246,2.51541,4.27627,2.03642,0.00176,0.32885,0.00173,0.00049,2.68381,4.86761,2.30268,0.000346736,0.000346736,0.000346736
38,10509.6,2.52327,4.23825,2.11051,0.00181,0.29038,0.00191,0.00061,2.73389,4.75467,2.34662,0.000310062,0.000310062,0.000310062
39,10773,2.42548,4.26117,2.06125,0.00121,0.27788,0.00188,0.00054,2.75897,4.87234,2.34061,0.000273388,0.000273388,0.000273388
40,11036.5,2.43214,4.18937,2.06336,0.00113,0.20192,0.0012,0.00035,2.8708,4.88262,2.40524,0.000236714,0.000236714,0.000236714
41,11299.8,2.49984,4.1737,2.09433,0.00116,0.22981,0.00149,0.00041,2.90424,4.83457,2.43061,0.00020004,0.00020004,0.00020004
42,11563.6,2.3966,4.11003,2.05293,0.0015,0.27115,0.00169,0.00046,2.82555,4.89246,2.35546,0.000163366,0.000163366,0.000163366
43,11827.8,2.48072,4.10489,2.07451,0.00141,0.23654,0.003,0.00074,2.78461,4.84702,2.3843,0.000126692,0.000126692,0.000126692
44,12092.1,2.35407,4.11861,2.0259,0.00134,0.22404,0.00373,0.00085,2.82418,4.85445,2.4235,9.0018e-05,9.0018e-05,9.0018e-05
45,12356.3,2.36001,4.10018,2.02131,0.00147,0.22404,0.00378,0.00063,2.85224,4.90622,2.43729,5.3344e-05,5.3344e-05,5.3344e-05
